Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
abalone,AB,23,3742,432,1,0.6165251731872559,0.02700042724609375,0.4917170630710642,0.037037037037037035,0.004068462401795735,0.037037037037037035,0.007289386060937785
abalone,AB,28,3747,427,2,0.5560476779937744,0.025992155075073242,0.5029503198385946,0.13348946135831383,0.032007071531554895,0.13348946135831383,0.04846526318515371
abalone,AB,28,3751,423,3,0.6119940280914307,0.02600240707397461,0.5046929857721224,0.1347517730496454,0.05340970228402193,0.1347517730496454,0.06232365355091226
abalone,AB,28,3753,421,4,0.7520022392272949,0.04900097846984863,0.5070352707582193,0.14014251781472684,0.06306952502501423,0.14014251781472684,0.06403842232278585
abalone,AB,28,3755,419,5,0.6269974708557129,0.03100299835205078,0.5073326034856274,0.1431980906921241,0.0546033410788252,0.1431980906921241,0.06534887315762497
abalone,AB,28,3757,417,6,0.6709990501403809,0.027998924255371094,0.5079077026904378,0.14388489208633093,0.06345245778280843,0.14388489208633093,0.06798416364372709
abalone,AB,28,3761,413,7,0.644599199295044,0.02600264549255371,0.507414337744597,0.14285714285714285,0.06183940903712666,0.14285714285714285,0.06962860604105012
abalone,AB,28,3765,409,8,0.6646080017089844,0.02499985694885254,0.5110670923708911,0.15403422982885084,0.06791512193062914,0.15403422982885084,0.07538655366143686
abalone,AB,28,3766,408,9,0.663006067276001,0.02399611473083496,0.5065009330278356,0.13970588235294118,0.05594075868360041,0.13970588235294118,0.06503535047892701
abalone,AB,28,3769,405,10,0.5736119747161865,0.023043394088745117,0.510457664580728,0.15308641975308643,0.07592279423906273,0.15308641975308643,0.07881293736132447
abalone,DT,23,3742,432,1,0.019001007080078125,0.0009987354278564453,0.504666484420962,0.06712962962962964,0.04894384002913178,0.06712962962962964,0.05140754634851223
abalone,DT,28,3747,427,2,0.014002084732055664,0.0,0.5081166605193649,0.10070257611241218,0.06894746989352027,0.10070257611241218,0.07503907312124582
abalone,DT,28,3751,423,3,0.01300191879272461,0.0,0.5084540037098405,0.08747044917257683,0.08215715582455445,0.08747044917257683,0.07442904651589599
abalone,DT,28,3753,421,4,0.01599884033203125,0.0,0.5022779291267349,0.09026128266033254,0.07464179360692028,0.09026128266033254,0.06932574138967548
abalone,DT,28,3755,419,5,0.012000560760498047,0.0010006427764892578,0.5169796963190879,0.11217183770883055,0.10180335415153288,0.11217183770883055,0.08721588177779932
abalone,DT,28,3757,417,6,0.011999130249023438,0.0,0.5162390826615413,0.11510791366906475,0.10223394700723906,0.11510791366906475,0.09652986143877326
abalone,DT,28,3761,413,7,0.011997222900390625,0.0,0.515427497771886,0.12832929782082325,0.10097223767709149,0.12832929782082325,0.10199810721872116
abalone,DT,28,3765,409,8,0.013003826141357422,0.0,0.5109399033897097,0.10513447432762836,0.11433496565398897,0.10513447432762836,0.0921555158761382
abalone,DT,28,3766,408,9,0.012999773025512695,0.0,0.5197330804622016,0.11274509803921569,0.10880744903365641,0.11274509803921569,0.09450617887071767
abalone,DT,28,3769,405,10,0.012006044387817383,0.0,0.5210787375280385,0.1308641975308642,0.14807487142259035,0.1308641975308642,0.12036324660955951
abalone,GNB,23,3742,432,1,0.005998849868774414,0.002003908157348633,0.4813092056163318,0.032407407407407406,0.023630004985533307,0.032407407407407406,0.027121419546662192
abalone,GNB,28,3747,427,2,0.0070002079010009766,0.0030007362365722656,0.5128223922405056,0.117096018735363,0.14853347965346864,0.117096018735363,0.1099280541614349
abalone,GNB,28,3751,423,3,0.004999637603759766,0.0019996166229248047,0.512784749023715,0.12056737588652482,0.1294306342660417,0.12056737588652482,0.11375388874337343
