dataset,algorithm,number_of_classes,train_size,test_size,accuracy,precision,recall,f1,auc,train_time,pred_time
bananas,ARF,2,5300,5300,0.8816757878845065,0.8830486202365309,0.8484848484848485,0.8654217643271088,0.9475253446772435,8.604433000000062,1.770147599999877
bananas,GNB,2,5300,5300,0.6152104170598226,0.6527651858567544,0.30303030303030304,0.4139120436907157,0.6436725131345384,0.054984700000051845,0.4063761999999542
bananas,HAT,2,5300,5300,0.6421966408756369,0.6664355062413315,0.40446127946127947,0.5034049240440022,0.6837119052308926,0.278525700000003,0.11835300000008253
bananas,KNN,2,5300,5300,0.8799773542177769,0.8702127659574468,0.8606902356902357,0.8654253068133728,0.9352695618518402,0.03724840000012719,14.180222599999947
iris,ARF,3,150,150,0.9328859060402684,0.8703703703703703,0.94,0.9038461538461539,0.9599999999999999,0.22432260000000026,0.05348890000000095
iris,GNB,3,150,150,0.9463087248322147,0.9038461538461539,0.94,0.9215686274509804,0.954949494949495,0.003723099999998425,0.023993199999999604
iris,HAT,3,150,150,0.9463087248322147,0.9038461538461539,0.94,0.9215686274509804,0.9636363636363636,0.015540699999995855,0.007752700000000168
iris,KNN,3,150,150,0.9328859060402684,0.8703703703703703,0.94,0.9038461538461539,0.9681818181818181,0.0009613000000006089,0.07069659999999933
phishing,ARF,2,1250,1250,0.9087269815852682,0.8943533697632058,0.8976234003656307,0.8959854014598541,0.9629707755850352,1.716491300000028,0.35349430000002613
phishing,GNB,2,1250,1250,0.8847077662129704,0.8516579406631762,0.8921389396709324,0.8714285714285714,0.9190430058803003,0.024186500000000777,0.1267671999999731
phishing,HAT,2,1250,1250,0.8799039231385108,0.8752362948960303,0.8464351005484461,0.8605947955390334,0.9111978312161129,0.1273082000000052,0.05542560000001018
phishing,KNN,2,1250,1250,0.8895116092874299,0.8632326820603907,0.8884826325411335,0.8756756756756756,0.9281225748318986,0.006798199999998644,3.6137573999999955
wisconsin,ARF,2,683,683,0.9648093841642229,0.9535864978902954,0.9456066945606695,0.9495798319327731,0.9866448803800636,1.980377300000003,0.3856645999999846
wisconsin,GNB,2,683,683,0.969208211143695,0.9541666666666667,0.9581589958158996,0.9561586638830898,0.9686098019399869,0.08396799999999915,0.15721890000000238
wisconsin,HAT,2,683,683,0.967741935483871,0.9465020576131687,0.9623430962343096,0.9543568464730291,0.9684917404157655,0.237228399999998,0.11014629999999892
wisconsin,KNN,2,683,683,0.9618768328445748,0.9733333333333334,0.9163179916317992,0.9439655172413793,0.9822860489058058,0.005587100000000511,6.917598499999996
