index,y_true,y_pred,AUC,Accuracy,Precision,Recall,F1
1,0,0,-0.0,1.0,0.0,0.0,0.0
2,0,0,-0.0,1.0,0.0,0.0,0.0
3,0,0,-0.0,1.0,0.0,0.0,0.0
4,0,0,-0.0,1.0,0.0,0.0,0.0
5,1,0,0.5,0.8,0.0,0.0,0.0
6,1,0,0.75,0.6666666666666666,0.0,0.0,0.0
7,1,1,0.8333333333333333,0.7142857142857143,1.0,0.3333333333333333,0.5
8,1,1,0.875,0.75,1.0,0.5,0.6666666666666666
9,1,1,0.9,0.7777777777777778,1.0,0.6,0.7499999999999999
10,2,1,0.78,0.7,0.75,0.6,0.6666666666666665
11,2,2,0.7500000000000001,0.7272727272727273,0.75,0.6,0.6666666666666665
12,2,1,0.6857142857142857,0.6666666666666666,0.6,0.6,0.6
13,2,2,0.7124999999999999,0.6923076923076923,0.6,0.6,0.6
14,2,2,0.7333333333333334,0.7142857142857143,0.6,0.6,0.6
15,0,0,0.75,0.7333333333333333,0.6,0.6,0.6
16,0,0,0.7636363636363637,0.75,0.6,0.6,0.6
17,0,0,0.7750000000000001,0.7647058823529411,0.6,0.6,0.6
18,0,0,0.7846153846153847,0.7777777777777778,0.6,0.6,0.6
19,0,0,0.7928571428571428,0.7894736842105263,0.6,0.6,0.6
20,1,1,0.8154761904761905,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666
21,1,1,0.8316326530612244,0.8095238095238095,0.7142857142857143,0.7142857142857143,0.7142857142857143
22,1,1,0.84375,0.8181818181818182,0.75,0.75,0.75
23,1,1,0.8531746031746031,0.8260869565217391,0.7777777777777778,0.7777777777777778,0.7777777777777778
24,1,1,0.8535714285714285,0.8333333333333334,0.8,0.8,0.8000000000000002
25,2,2,0.86,0.84,0.8,0.8,0.8000000000000002
26,2,2,0.8593749999999999,0.8461538461538461,0.8,0.8,0.8000000000000002
27,2,2,0.8647058823529411,0.8518518518518519,0.8,0.8,0.8000000000000002
28,2,2,0.8694444444444444,0.8571428571428571,0.8,0.8,0.8000000000000002
29,2,2,0.8736842105263158,0.8620689655172413,0.8,0.8,0.8000000000000002
30,0,0,0.8775000000000001,0.8666666666666667,0.8,0.8,0.8000000000000002
31,0,0,0.8809523809523808,0.8709677419354839,0.8,0.8,0.8000000000000002
32,0,0,0.8840909090909091,0.875,0.8,0.8,0.8000000000000002
33,0,0,0.8869565217391305,0.8787878787878788,0.8,0.8,0.8000000000000002
34,0,0,0.8895833333333333,0.8823529411764706,0.8,0.8,0.8000000000000002
35,1,1,0.8958333333333334,0.8857142857142857,0.8181818181818182,0.8181818181818182,0.8181818181818182
36,1,1,0.9010416666666666,0.8888888888888888,0.8333333333333334,0.8333333333333334,0.8333333333333334
37,1,1,0.905448717948718,0.8918918918918919,0.8461538461538461,0.8461538461538461,0.8461538461538461
38,1,1,0.9092261904761905,0.8947368421052632,0.8571428571428571,0.8571428571428571,0.8571428571428571
39,1,1,0.9097222222222222,0.8974358974358975,0.8666666666666667,0.8666666666666667,0.8666666666666667
40,2,2,0.9119999999999999,0.9,0.8666666666666667,0.8666666666666667,0.8666666666666667
41,2,1,0.891025641025641,0.8780487804878049,0.8125,0.8666666666666667,0.8387096774193549
42,2,2,0.8938271604938273,0.8809523809523809,0.8125,0.8666666666666667,0.8387096774193549
43,2,2,0.8964285714285714,0.8837209302325582,0.8125,0.8666666666666667,0.8387096774193549
44,2,2,0.8988505747126437,0.8863636363636364,0.8125,0.8666666666666667,0.8387096774193549
45,0,0,0.9011111111111111,0.8888888888888888,0.8125,0.8666666666666667,0.8387096774193549
46,0,0,0.903225806451613,0.8913043478260869,0.8125,0.8666666666666667,0.8387096774193549
47,0,0,0.9052083333333334,0.8936170212765957,0.8125,0.8666666666666667,0.8387096774193549
48,0,0,0.907070707070707,0.8958333333333334,0.8125,0.8666666666666667,0.8387096774193549
49,0,0,0.9088235294117647,0.8979591836734694,0.8125,0.8666666666666667,0.8387096774193549
50,1,1,0.9090073529411764,0.9,0.8235294117647058,0.875,0.8484848484848485
51,1,1,0.9117647058823529,0.9019607843137255,0.8333333333333334,0.8823529411764706,0.8571428571428571
52,1,1,0.9142156862745098,0.9038461538461539,0.8421052631578947,0.8888888888888888,0.8648648648648649
53,1,1,0.9164086687306501,0.9056603773584906,0.85,0.8947368421052632,0.8717948717948718
54,1,1,0.9161764705882353,0.9074074074074074,0.8571428571428571,0.9,0.8780487804878048
55,2,2,0.9178571428571429,0.9090909090909091,0.8571428571428571,0.9,0.8780487804878048
56,2,2,0.9194444444444445,0.9107142857142857,0.8571428571428571,0.9,0.8780487804878048
57,2,2,0.920945945945946,0.9122807017543859,0.8571428571428571,0.9,0.8780487804878048
58,2,2,0.9223684210526316,0.9137931034482759,0.8571428571428571,0.9,0.8780487804878048
59,2,2,0.9237179487179488,0.9152542372881356,0.8571428571428571,0.9,0.8780487804878048
60,0,0,0.9249999999999999,0.9166666666666666,0.8571428571428571,0.9,0.8780487804878048
61,0,0,0.926219512195122,0.9180327868852459,0.8571428571428571,0.9,0.8780487804878048
62,0,0,0.9273809523809524,0.9193548387096774,0.8571428571428571,0.9,0.8780487804878048
63,0,0,0.9284883720930232,0.9206349206349206,0.8571428571428571,0.9,0.8780487804878048
64,0,0,0.9295454545454545,0.921875,0.8571428571428571,0.9,0.8780487804878048
65,1,1,0.9312770562770561,0.9230769230769231,0.8636363636363636,0.9047619047619048,0.8837209302325582
66,1,1,0.9328512396694216,0.9242424242424242,0.8695652173913043,0.9090909090909091,0.888888888888889
67,1,1,0.9342885375494072,0.9253731343283582,0.875,0.9130434782608695,0.8936170212765957
