Dataset,Algorithm,Number of classes,Train size,Test size,CV index,Train time [s],Prediction time [s],AUC,Accuracy,Precision,Recall,F1
iris,DT,3,135,15,1,0.001001119613647461,0.0,0.8500000000000001,0.8,0.8055555555555555,0.8,0.7979797979797979
iris,DT,3,135,15,2,0.0010006427764892578,0.0,1.0,1.0,1.0,1.0,1.0
iris,DT,3,135,15,3,0.0010013580322265625,0.0,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,DT,3,135,15,4,0.00099945068359375,0.0,1.0,1.0,1.0,1.0,1.0
iris,DT,3,135,15,5,0.0010027885437011719,0.0,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,DT,3,135,15,6,0.0009987354278564453,0.0,1.0,1.0,1.0,1.0,1.0
iris,DT,3,135,15,7,0.0010001659393310547,0.0,1.0,1.0,1.0,1.0,1.0
iris,DT,3,135,15,8,0.0,0.0,1.0,1.0,1.0,1.0,1.0
iris,DT,3,135,15,9,0.0010004043579101562,0.0,1.0,1.0,1.0,1.0,1.0
iris,DT,3,135,15,10,0.0,0.0,0.85,0.8,0.875,0.8,0.7802197802197803
iris,KNN,3,135,15,1,0.0030002593994140625,0.0019991397857666016,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,KNN,3,135,15,2,0.0009992122650146484,0.0019998550415039062,1.0,1.0,1.0,1.0,1.0
iris,KNN,3,135,15,3,0.0010004043579101562,0.0009984970092773438,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,KNN,3,135,15,4,0.00099945068359375,0.0010004043579101562,1.0,1.0,1.0,1.0,1.0
iris,KNN,3,135,15,5,0.0009992122650146484,0.0010001659393310547,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,KNN,3,135,15,6,0.0,0.0020020008087158203,0.95,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326
iris,KNN,3,135,15,7,0.00099945068359375,0.0010006427764892578,1.0,1.0,1.0,1.0,1.0
iris,KNN,3,135,15,8,0.0010001659393310547,0.0009999275207519531,1.0,1.0,1.0,1.0,1.0
